,Sentence,Polarity,Subjectivity
0,Home - BBC NewsSkip to contentBritish Broadcasting CorporationWatch LiveHomeNewsSportBusinessInnovationCultureArtsTravelEarthAudioVideoLiveIsrael-Gaza WarWar in UkraineUS & CanadaUKAfricaAsiaAustraliaEuropeLatin AmericaMiddle EastIn PicturesBBC InDepthBBC VerifyHomeNewsIsrael-Gaza WarWar in UkraineUS & CanadaUKUK PoliticsEnglandN. IrelandN. Ireland PoliticsScotlandScotland,0.0,0.0
1,PoliticsWalesWales PoliticsAfricaAsiaChinaIndiaAustraliaEuropeLatin AmericaMiddle EastIn PicturesBBC InDepthBBC VerifySportBusinessExecutive LoungeTechnology of BusinessFuture of BusinessInnovationTechnologyScience & HealthArtificial IntelligenceAI v the MindCultureFilm & TVMusicArt & DesignStyleBooksEntertainment NewsArtsArts in MotionTravelDestinationsAfricaAntarcticaAsiaAustralia and PacificCaribbean & BermudaCentral,0.0,0.0
2,AmericaEuropeMiddle EastNorth AmericaSouth AmericaWorld’s TableCulture & ExperiencesAdventuresThe SpeciaListEarthNatural WondersWeather & ScienceClimate SolutionsSustainable BusinessGreen LivingAudioPodcastsRadioAudio,0.0,0.0
3,FAQsVideoLiveLive NewsLive SportHomeNewsSportBusinessInnovationCultureArtsTravelEarthAudioVideoLiveWeatherNewslettersNewsNewsTrump expands exemptions from Canada and Mexico tariffsTrump said he was granting exemptions to tariffs on goods that come under a previous trade pact until 2 April.1 hr,-0.16666666666666666,0.16666666666666666
4,"agoBusinessAs US and Canada trade barbs, its so far so good for Mexicos SheinbaumDonald Trump and Justin Trudeaus clear tensions are a stark contrast to the Mexican leaders approach to the White House.1 hr agoWorldFlames, feathers and fangs: Rio Carnival parade in picturesCrowds filled the Sambadrome to watch samba schools face off at Rio Carnival.",0.10625,0.46458333333333335
5,"8 hrs agoLatin AmericaTeen armed with gun overpowered by plane passengers in AustraliaA 17-year-old has been charged after being detained by crew and members of the public on a plane in Australia.2 hrs agoAustraliaUS lost a fifth of its butterflies within two decades However the researchers say butterflies may be able to recover if urgent conservation measures are taken.5 hrs agoUS & CanadaAs US and Canada trade barbs, its so far so good for Mexicos SheinbaumDonald Trump and Justin Trudeaus clear tensions are a stark contrast to the Mexican leaders approach to the White House.1 hr agoWorldZelensky hopes US-Ukraine talks next week will be meaningful The talks in Saudi Arabia come as both sides seek to heal a rift after presidents Zelensky and Trump clashed in public.2 hrs",0.16999999999999998,0.37750000000000006
6,agoWorldAnalysing Russian strike on Ukrainian  hotelBBC Verifys Nick Eardley takes a look at verified footage and images from the a Russian missile attack on a Ukrainian hotel.,0.0,0.0
7,7 hrs agoBBC VerifyPrivate spacecraft lands on Moon - but may be on its sidePrivate company Intuitive Machines IS aiming to look for water ice on the Moons surface.,0.0,0.0
8,"2 hrs agoScience & EnvironmentFlames, feathers and fangs: Rio Carnival parade in picturesCrowds filled the Sambadrome to watch samba schools face off at Rio Carnival.",0.07500000000000001,0.5666666666666667
9,8 hrs agoLatin AmericaHunter Biden says he cant afford to continue laptop-related lawsuit3 hrs agoUS & CanadaListen:,0.0,0.0
10,Pope Francis shares voice message from hospital2 hrs,0.0,0.0
11,"agoEuropePelicots daughter presses charges against father jailed in mass rape case9 hrs agoEuropePamela Bach, Baywatch and Knight Rider star, found dead, aged 621 hr agoUS & CanadaWatch: Moment falling tree narrowly misses pedestrians8 hrs agoUS & CanadaMore to exploreFrance has a nuclear umbrella.",-0.16666666666666666,0.4000000000000001
12,"Could its European allies fit under it?President Macron has aired the idea that Frances deterrence force could be used to defend of other European countries.7 hrs agoEuropeSo lucky to be alive: Aid worker describes escape from deadly Russian strikeKarol Swiacki spoke to the BBC after surviving a missile strike on a hotel in Kryvyi Rih, which killed four.11 hrs agoEuropeWhat does the Department of Education do - and can Trump dismantle it?The president has pledged to eliminate the federal agency that oversees the US education system.14 hrs agoUS & CanadaLondon Eye at 25: The wheel that nearly wasntJulia Barfield shares how her vision for the London Eye became a reality as it marks 25 years.18 hrs agoLondonScranton helped the US back Ukraine - now its role is uncertainThe Pennsylvanian citys ammunition plant makes weapons for Ukraine, whose president paid it a visit last year.14 hrs agoWorldSo lucky to be alive: Aid worker describes escape from deadly Russian strikeKarol Swiacki spoke to the BBC after surviving a missile strike on a hotel in Kryvyi Rih, which killed four.11 hrs agoEuropeHow fire changed Notre-Dame’s unique soundPerformers at the famous gothic cathedral may find some subtle differences to the way sound bounces around its walls.",0.09416666666666666,0.3654166666666667
